,IDENTIFICATION,ACADYEAR,PERC1,MENT1,PERC2,MENT2,FAC,OPT,PROM
6408,9567,2014-2015,49.4000015259,A,60.2000007629,S,FSDC,Tronc commun,G2
6409,9567,2015-2016,55.2000007629,A,58.2000007629,S,FSDC,Tronc commun,G3
6410,9568,2013-2014,,AA,,A,FSDC,Tronc commun,G1
6411,9569,2013-2014,,AA,,AA,FSEG,Tronc commun,G1
6412,9570,2013-2014,41.7999992371,A,56.0999984741,S,FSEG,Tronc commun,G1
6413,9570,2014-2015,51.5999984741,A,55.5999984741,S,FSEG,Tronc commun,G2
6414,9570,2015-2016,,A,60.7999992371,S,FSEG,Tronc commun,G3
6415,9571,2013-2014,,AA,47.5,A,FSTA,Tronc commun,G0
6416,9572,2013-2014,64.5999984741,S,,,FSDC,Tronc commun,L0
6417,9572,2014-2015,65.3000030518,S,,,FSDC,Santé et Développement Communautaires,L1
6418,9572,2015-2016,69.4000015259,S,,,FSDC,Santé et Développement Communautaires,L2
6419,9573,2013-2014,,AA,30.2999992371,NAF,FSTA,Tronc commun,G1
6420,9575,2013-2014,,AA,58.4000015259,S,FSTA,Tronc commun,G1
6421,9576,2013-2014,55.0,A,71.3000030518,D,FSTA,Tronc commun,G1
6422,9576,2014-2015,,AA,68.1999969482,S,FSTA,Génie Civil,G2
6423,9576,2015-2016,,AA,71.6999969482,D,FSTA,Génie Civil,G3
6424,9577,2013-2014,57.5999984741,S,,,FSTA,Tronc commun,G1
6425,9577,2014-2015,,AA,57.7000007629,S,FSTA,Génie Civil,G2
6426,9577,2015-2016,,AA,61.2000007629,S,FSTA,Génie Civil,G3
6427,9578,2013-2014,41.9000015259,A,46.7999992371,A,FSTA,Tronc commun,G1
6428,9578,2014-2015,,AA,45.5999984741,A,FSTA,Tronc commun,G1
6429,9580,2013-2014,,AA,36.4000015259,NAF,FD,Tronc commun,G2
6430,9581,2013-2014,52.9000015259,A,59.0,S,FSDC,Tronc commun,G1
6431,9581,2014-2015,56.2000007629,A,58.7000007629,S,FSDC,Tronc commun,G2
6432,9581,2015-2016,,A,60.2000007629,S,FSDC,Tronc commun,G3
6433,9582,2013-2014,51.0999984741,A,58.4000015259,S,FD,Tronc commun,G1
6434,9582,2014-2015,,AA,60.2999992371,S,FD,Tronc commun,G2
6435,9582,2015-2016,63.9000015259,S,,,FD,Droit Public,G3
6436,9583,2013-2014,,AA,56.5999984741,S,FD,Droit Public,L1
6437,9583,2014-2015,,A,62.2000007629,S,FD,Droit Public,L2
6438,9584,2013-2014,50.5,A,57.0,S,FSEG,Tronc commun,G1
6439,9584,2014-2015,,AA,58.5999984741,S,FSEG,Tronc commun,G2
6440,9584,2015-2016,61.4000015259,S,,,FSEG,Tronc commun,G3
6441,9585,2013-2014,51.2000007629,A,56.9000015259,S,FSEG,Tronc commun,G3
6442,9585,2014-2015,,AA,55.5,S,FSEG,Gestion des Entreprises,L1
6443,9585,2015-2016,,AA,59.4000015259,S,FSEG,Gestion des Entreprises,L2
6444,9587,2013-2014,,AA,60.9000015259,S,FSDC,Tronc commun,G1
6445,9587,2014-2015,60.4000015259,A,62.2000007629,S,FSDC,Tronc commun,G2
6446,9587,2015-2016,63.2000007629,S,,,FSDC,Tronc commun,G3
6447,9588,2013-2014,,AA,59.5,S,FT,Tronc commun,G1
6448,9588,2014-2015,,AA,,A,FT,Tronc commun,G2
6449,9588,2015-2016,,AA,58.7000007629,S,FT,Tronc commun,G2
6450,9589,2013-2014,45.7000007629,A,55.7000007629,S,FSEG,Tronc commun,G1
6451,9589,2014-2015,54.2999992371,A,60.0,S,FSEG,Tronc commun,G2
6452,9589,2015-2016,,AA,59.9000015259,S,FSEG,Tronc commun,G3
6453,9590,2013-2014,,AA,,AA,FSTA,Tronc commun,G0
6454,9591,2013-2014,,AA,61.2000007629,S,FSEG,Tronc commun,G2
6455,9591,2014-2015,,ADTFC,59.4000015259,S,FSEG,Tronc commun,G3
6456,9591,2015-2016,,AA,60.5,S,FSEG,Économie Monétaire,L1
6457,9593,2012-2013,68.6999969482,S,,,FT,Tronc commun,G1
6458,9593,2013-2014,67.0999984741,S,,,FT,Tronc commun,G2
6459,9593,2014-2015,66.4000015259,S,,,FT,Tronc commun,G3
6460,9593,2015-2016,69.1999969482,S,,,FT,Tronc commun,L1
6461,9596,2013-2014,59.9000015259,S,,,FT,Tronc commun,G2
6462,9596,2014-2015,,A,64.1999969482,S,FT,Tronc commun,G3
6463,9596,2015-2016,,AA,63.7999992371,S,FT,Tronc commun,L1
6464,9598,2013-2014,,AA,61.4000015259,S,FT,Tronc commun,G2
6465,9598,2014-2015,,AA,61.5999984741,S,FT,Tronc commun,G3
6466,9598,2015-2016,60.5999984741,S,,,FT,Tronc commun,L1
6467,9599,2013-2014,,AA,60.2999992371,S,FT,Tronc commun,G2
6468,9599,2014-2015,,A,60.4000015259,S,FT,Tronc commun,G3
6469,9599,2015-2016,,AA,59.4000015259,S,FT,Tronc commun,L1
6470,9600,2013-2014,60.9000015259,S,,,FD,Tronc commun,G2
6471,9600,2014-2015,,ADSTFC,63.7999992371,S,FD,Droit Privé et Judiciaire,G3
6472,9600,2015-2016,60.9000015259,S,,,FD,Droit Privé et Judiciaire,L1
6473,9601,2013-2014,,AA,54.2000007629,S,FD,Tronc commun,G2
6474,9601,2014-2015,,AA,62.2000007629,S,FD,Droit Public,G3
6475,9602,2013-2014,,AA,52.7000007629,S,FD,Tronc commun,G2
6476,9602,2014-2015,,AA,47.2999992371,A,FD,Droit Privé et Judiciaire,G3
6477,9603,2013-2014,,AA,63.9000015259,S,FD,Tronc commun,G2
